variable,hoja,frecuencia,unidad,fuente_declarada_en_archivo,primera_fecha,ultima_fecha,n_obs,n_missing_en_rango,nota
PIB,PIB,Trimestral,Millones de pesos a precios de 2018,"INEGI - BIE (PIB trimestral, serie desestacionalizada, base 2018)",1993-01-01,2026-04-01,134,0,PIB real desestacionalizado del enfoque de la producción/gasto agregado. NO es PNB: el titulo de la hoja confirma 'Producto interno bruto trimestral'.
IGAE,otros,Mensual,Indice base 2018=100 (SA),"INEGI - BIE (Indicador Global de la Actividad Economica, SA)",1993-01-01,2026-06-01,402,0,Mejor proxy mensual de PIB (ver correlacion). Publicado con ~8 semanas de rezago.
ActividadIndustrial,otros,Mensual,Indice base 2018=100 (SA),"INEGI - BIE (Actividad industrial total, SA)",1993-01-01,2026-07-01,403,0,Subcomponente de IGAE (correlacion ~0.96 con IGAE): alto riesgo de redundancia.
FBCF,otros,Mensual,Indice base 2018=100 (SA),"INEGI - BIE (Formacion bruta de capital fijo, SA)",1993-01-01,2026-06-01,402,0,"Proxy de inversion. Rezago de publicacion mayor (~10-11 semanas); en 2020 el ultimo dato solido disponible al corte es enero, con febrero en el limite (requiere verificar calendario 2020 exacto)."
TasaDesempleo,desempleo,Mensual,"% de la PEA (SA, ENOE)","INEGI - BIE (ENOE, tasa de desocupacion, SA)",2005-01-01,2026-06-01,258,0,"PROBLEMA DE MEDICION CONFIRMADO: INEGI suspendio la ENOE presencial el 31-mar-2020 y CANCELO la publicacion de abril (prevista 27-may-2020), sustituyendola por la ETOE (encuesta telefonica, metodologia distinta) para abril-junio 2020. El valor de esta serie para abr/may-2020 proviene de un empalme posterior no disponible al 15-may-2020 y no comparable 1:1 con la ENOE regular."
INPC,INPC,Mensual,"Indice (sin unidad), base 2Q jul-2018","Banco de Mexico (INPC, publicado ahora por INEGI desde jul-2011)",1992-01-01,2026-07-01,415,0,"Indice de precios, no revisado historicamente."
TIIE,TIIE,Diaria,Porcentaje (tasa promedio),Banco de Mexico (TIIE de Fondeo a 1 dia),2006-01-02,2026-09-18,5208,0,"Tasa de mercado interbancario, disponible el mismo dia. Sin rezago de publicacion relevante."
TC,TC,Mensual (prom. de diario),Pesos por dolar,"Banco de Mexico (tipo de cambio FIX, promedio mensual)",1992-01-01,2026-07-01,415,0,"Precio de mercado, no revisado. Puede reconstruirse a frecuencia diaria si se requiere."
Exportaciones,Balanza,Mensual,Miles de dolares (SA),"Banco de Mexico (Balanza comercial de mercancias, SA)",1993-01-01,2026-07-01,403,0,Solo bienes (no incluye servicios ni renta ni transferencias): NO es la balanza en cuenta corriente completa.
Importaciones,Balanza,Mensual,Miles de dolares (SA),"Banco de Mexico (Balanza comercial de mercancias, SA)",1993-01-01,2026-07-01,403,0,"Ver PIB=C+I+G+X-M: usar como indicador de actividad (insumos importados a manufactura de exportacion), NO como resta mecanica del PIB."
IMCP,Consumo,Mensual,Indice (unidad no documentada en archivo),SIN METADATOS EN EL ARCHIVO - fuente no verificable internamente,1993-01-01,2026-05-01,401,0,"Probable Indice de Confianza del Consumidor (INEGI/Banxico) por escala y contexto de la hoja (Consumo), pero no se puede confirmar la identidad exacta de la serie sin metadatos. Requiere confirmacion del usuario antes de usarse."
ANTAD,Consumo,Mensual,Indice (unidad no documentada en archivo),SIN METADATOS EN EL ARCHIVO - probablemente ANTAD (ventas mismas tiendas),1993-01-01,2026-07-01,403,0,Publicacion muy rapida (primeros dias del mes siguiente). Buen candidato de alta frecuencia.
AUTOS,Consumo,Mensual,Indice (unidad no documentada en archivo),SIN METADATOS EN EL ARCHIVO - probablemente ventas/registro de vehiculos (AMIA/INEGI),1993-01-01,2026-07-01,403,0,Publicacion muy rapida (primeros dias del mes siguiente). Muy volatil en crisis (colapso de -60% abr-2020 en el nivel).
TARJETAS,Consumo,Mensual,Indice (unidad no documentada en archivo),SIN METADATOS EN EL ARCHIVO,2009-01-01,2026-07-01,211,0,Cobertura corta (inicia 2009): NO cubre la crisis Tequila (1994-95) y solo la cola de la crisis 2008-09. Correlacion baja con PIB (~0.28-0.30). Candidato debil para EXTENSION/M4 por falta de episodios historicos.
EPU,Uncertainity,Mensual,Indice (base no documentada en archivo),SIN METADATOS EN EL ARCHIVO - estilo Baker-Bloom-Davis (Mexican EPU),1996-01-01,2026-08-01,368,0,"Correlacion ~0 con el nivel de crecimiento del PIB: no es un indicador de actividad, sino de incertidumbre de politica. Rezago de publicacion tipico de este tipo de indices ~2-4 semanas (requiere verificar para 15-may-2020)."
IMSS_empleos,IMSS,Mensual,Numero de trabajadores asegurados,SIN METADATOS EN EL ARCHIVO - coincide con IMSS (trabajadores asegurados),1997-07-01,2026-07-01,349,0,"Publicacion muy rapida (primeros dias habiles del mes siguiente, IMSS publica su propio boletin). Excelente candidato de alta frecuencia para el choque COVID (abril 2020 disponible desde inicios de mayo 2020)."
