CountryName,CountryCode,Date,StringencyIndex_Average,GovernmentResponseIndex_Average,EconomicSupportIndex
China,CHN,2020-01-01,0.0,5.99,0.0
China,CHN,2020-01-02,0.0,5.99,0.0
China,CHN,2020-01-03,0.0,5.99,0.0
China,CHN,2020-01-04,0.0,5.99,0.0
China,CHN,2020-01-05,2.78,10.68,0.0
China,CHN,2020-01-06,2.78,10.68,0.0
China,CHN,2020-01-07,2.78,10.68,0.0
China,CHN,2020-01-08,2.78,10.68,0.0
China,CHN,2020-01-09,2.78,10.68,0.0
China,CHN,2020-01-10,2.78,10.68,0.0
China,CHN,2020-01-11,2.78,10.68,0.0
China,CHN,2020-01-12,2.78,10.68,0.0
China,CHN,2020-01-13,2.78,10.68,0.0
China,CHN,2020-01-14,2.78,10.68,0.0
China,CHN,2020-01-15,8.33,13.8,0.0
China,CHN,2020-01-16,8.33,13.8,0.0
China,CHN,2020-01-17,8.33,13.8,0.0
China,CHN,2020-01-18,8.33,13.8,0.0
China,CHN,2020-01-19,8.33,13.8,0.0
China,CHN,2020-01-20,8.33,14.58,0.0
China,CHN,2020-01-21,8.33,16.15,0.0
China,CHN,2020-01-22,26.39,27.08,0.0
China,CHN,2020-01-23,44.91,37.5,0.0
China,CHN,2020-01-24,44.91,37.5,0.0
China,CHN,2020-01-25,47.69,39.06,0.0
China,CHN,2020-01-26,69.91,51.56,0.0
China,CHN,2020-01-27,69.91,51.56,0.0
China,CHN,2020-01-28,69.91,55.73,0.0
China,CHN,2020-01-29,69.91,55.73,0.0
China,CHN,2020-01-30,69.91,55.73,0.0
China,CHN,2020-01-31,69.91,55.73,0.0
China,CHN,2020-02-01,77.31,59.9,0.0
China,CHN,2020-02-02,77.31,59.9,0.0
China,CHN,2020-02-03,77.31,59.9,0.0
China,CHN,2020-02-04,77.31,59.9,0.0
China,CHN,2020-02-05,77.31,59.9,0.0
China,CHN,2020-02-06,77.31,59.9,0.0
China,CHN,2020-02-07,77.31,59.9,0.0
China,CHN,2020-02-08,77.31,59.9,0.0
China,CHN,2020-02-09,77.31,59.9,0.0
China,CHN,2020-02-10,75.46,58.85,0.0
China,CHN,2020-02-11,75.46,58.85,0.0
China,CHN,2020-02-12,75.46,58.85,0.0
China,CHN,2020-02-13,75.46,58.85,0.0
China,CHN,2020-02-14,75.46,58.85,0.0
China,CHN,2020-02-15,75.46,58.85,0.0
China,CHN,2020-02-16,75.46,60.94,0.0
China,CHN,2020-02-17,75.46,60.94,0.0
China,CHN,2020-02-18,75.46,60.94,0.0
China,CHN,2020-02-19,75.46,60.94,0.0
China,CHN,2020-02-20,75.46,60.94,0.0
China,CHN,2020-02-21,75.46,60.94,0.0
China,CHN,2020-02-22,75.46,60.94,0.0
China,CHN,2020-02-23,75.46,60.94,0.0
China,CHN,2020-02-24,75.46,60.94,0.0
China,CHN,2020-02-25,81.02,64.06,0.0
China,CHN,2020-02-26,81.02,64.06,0.0
China,CHN,2020-02-27,81.02,64.06,0.0
China,CHN,2020-02-28,81.02,64.06,0.0
China,CHN,2020-02-29,81.02,64.06,0.0
China,CHN,2020-03-01,81.02,64.06,0.0
China,CHN,2020-03-02,81.02,64.06,0.0
China,CHN,2020-03-03,81.02,64.06,0.0
China,CHN,2020-03-04,81.02,64.06,0.0
China,CHN,2020-03-05,81.02,64.06,0.0
China,CHN,2020-03-06,81.02,64.06,0.0
